28,28,28,31,1,31,112,112,112,2,2,2,2,2,2,2,112,112,112,1,1,29,28,28,28,28,28,28,31,34,29,28,28,28,28,28,28,28,28,28,33,28,28,28,28,28,28,33,28
34,28,28,31,34,28,1,112,112,2,2,2,2,2,2,2,112,112,1,1,29,28,28,28,28,28,33,33,28,28,28,28,28,28,28,33,28,28,28,28,28,28,28,28,33,28,28,28,33
29,28,28,28,31,28,1,112,112,112,2,2,2,2,2,112,112,1,31,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,1,34,30,30,28,28,28,2,2,2
28,28,28,28,28,28,1,112,112,112,2,2,2,2,2,112,112,112,153,28,28,28,28,28,28,28,28,91,32,30,28,28,28,33,28,28,28,31,1,2,2,2,2,2,2,2,2,2,1
37,28,28,28,28,28,31,1,112,112,2,2,2,2,2,112,112,112,1,1,28,28,28,28,28,92,1,1,1,95,32,28,28,28,28,28,28,34,2,2,2,2,2,1,1,1,1,1,1
112,32,28,28,28,28,31,34,1,112,112,112,2,2,2,112,112,112,1,34,28,28,28,36,1,1,1,91,1,1,28,28,28,28,28,28,31,2,2,1,1,1,1,1,35,1,1,37,1
36,1,34,28,33,28,28,1,1,112,112,112,2,2,112,112,112,150,1,29,28,28,28,31,1,34,1,21,15,92,1,28,35,1,28,28,31,2,1,44,1,18,15,43,1,29,28,28,31
32,28,28,28,28,28,28,31,34,1,112,112,2,112,112,112,112,1,1,28,28,28,28,28,28,3,2,1,112,112,1,29,1,29,28,28,31,1,43,1,1,16,1,1,29,28,28,28,30
1,54,28,28,28,28,28,31,1,1,151,112,112,112,112,112,1,31,1,28,28,28,28,28,31,34,1,94,28,1,34,28,37,28,28,28,30,112,1,1,18,20,1,28,28,28,28,28,1
112,1,32,28,28,28,28,28,28,37,1,112,112,112,1,112,1,28,28,28,28,33,28,28,28,29,29,28,28,28,28,28,28,28,28,31,34,112,1,1,16,1,1,28,28,28,34,1,1
112,57,56,28,28,28,28,28,28,1,1,1,112,112,151,15,35,28,28,28,28,30,34,28,28,28,28,28,28,28,28,28,28,28,28,28,1,1,1,1,16,1,1,28,28,28,1,1,35
27,4,28,28,28,28,28,28,28,28,1,151,1,112,112,1,32,28,28,28,1,36,29,28,28,28,28,31,34,28,28,28,28,28,28,28,1,1,44,15,24,19,32,28,28,28,1,3,1
16,1,32,28,28,28,28,28,28,28,31,1,1,1,112,32,28,28,28,28,29,29,28,28,28,28,28,28,28,28,33,33,28,28,28,28,46,1,3,1,3,16,1,32,28,31,1,1,1
16,1,1,32,28,28,33,28,28,28,31,1,1,150,112,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,31,1,36,29,1,47,1,1,28,28,31,1,34
21,53,1,54,28,33,28,28,28,28,28,1,1,1,112,155,28,28,28,28,28,33,28,28,28,28,28,28,28,28,28,28,31,34,32,28,28,31,1,28,28,1,1,28,28,28,31,3,1
29,31,53,1,28,28,28,28,28,28,28,28,36,28,1,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1
32,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,37,1,28,28,28,28,1
35,1,34,28,28,28,28,28,30,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,1,28,1,34,3,28,28,31,37,32,28,28,28,1,52,28,28,28,28,31
1,1,3,1,30,34,28,31,34,28,28,28,28,28,28,34,28,28,28,30,30,34,28,28,33,28,28,28,31,34,28,1,1,1,32,28,28,28,28,28,28,28,31,3,1,28,28,28,1
34,1,1,3,1,28,28,28,1,37,28,28,145,28,28,29,28,28,28,31,30,1,32,32,28,28,28,28,28,28,28,28,35,22,81,1,32,28,28,28,28,28,28,34,1,1,35,1,1
